Id,UserId,StartTimeInSeconds,DurationInSeconds,DistanceInMeters,Steps,AverageSpeedInMetersPerSecond,AveragePaceInMinutesPerKilometer,TotalElevationGainInMeters,AverageHeartRateInBeatsPerMinute
15685,10230,1685642068,78,248.49,224,3.167,5.262604,2.140274,130
15686,10230,1681855708,1569,5007.33,4450,3.191,5.223023,37.995728,162
15687,10230,1682634000,1802,5364.11,5074,2.977,5.598477,63.92489,161
15690,10230,1682851926,2963,9859.82,8690,3.327,5.0095186,88.361305,178
15691,10230,1683456007,342,888.14,1016,2.596,6.4201336,10.570717,133
15692,10230,1683456608,43,239.35,142,5.555,3.0003002,,104
15693,10230,1683456859,35,205.36,118,5.799,2.874059,,119
15694,10230,1685572352,164,471.59,480,2.872,5.8031573,4.9216995,140
15695,10230,1685572803,2067,6003.47,6032,2.905,5.7372346,42.7008,153
15696,10230,1684878602,549,2008.65,1584,3.662,4.551247,6.821888,157
15697,10230,1684880935,236,1006.61,710,4.269,3.904115,6.100769,151
15698,10230,1684881678,111,504.44,326,4.548,3.6646144,3.4368098,162
15699,10230,1684882175,108,492.24,328,4.549,3.6638088,2.8033412,155
15700,10230,1684883093,63,300.92,186,4.742,3.5146914,,165
15701,10230,1684883286,62,303.84,190,4.862,3.4279447,,158
15702,10230,1684883529,63,303.45,186,4.842,3.4421039,,155
15703,10230,1684965895,857,2433.07,2436,2.838,5.87268,16.240868,156
15704,10230,1684966991,52,126.63,112,2.454,6.791633,,139
15705,10230,1685008480,1894,5006.67,5370,2.643,6.3059654,65.183655,146
15707,8110,1686878889,3601,9498.38,10176,2.638,6.3179173,83.191895,111
15708,4080,1686758762,307,1008.74,824,3.281,5.0797524,2.7092285,142
15715,830,1686804577,2641,5004.75,5882,1.895,8.795074,81.12,113
15721,10420,1685134762,3357,10006.07,9122,2.98,5.5928407,553,156
15722,10420,1685138180,91,240.86,232,2.657,6.272739,15,151
15728,10420,1682775916,1831,5121.17,4908,2.797,5.9587655,265,156
15729,10420,1682852436,3139,9925.64,8688,3.162,5.2709255,251,156
15731,10420,1685221136,3603,10169.35,9868,2.823,5.903885,713,152
15733,10420,1686496896,4586,13619.41,12546,2.97,5.611672,1273,157
15734,10420,1686689549,3603,11133.06,9946,3.09,5.3937435,325,156
15739,10420,1683986594,1477,4754.97,4080,3.22,5.1759834,336,152
15740,10420,1684072964,3273,10023.42,9048,3.062,5.443065,803,147
15744,10420,1685455726,3601,10759.86,9862,2.988,5.5778675,669,158
15745,10420,1685460154,213,503.02,554,2.362,7.056167,21,125
15751,10440,1682853894,4086,10006.89,10712,2.449,6.8054996,66.23938,146
15752,10440,1683666319,665,1584.28,1758,2.381,6.99986,14.622864,118
15753,10440,1683667212,141,426.62,348,3.031,5.4987354,,126
15754,10440,1683667756,125,408.25,340,3.277,5.0859523,,137
